sy;NtWaitForSingleObject;GetLastInputInfo;InSendMessageEx;memcpy_s;LdrLockLoaderLock;RtlDestroyProcessParameters;RtlCreateProcessParametersEx;RtlGetOwnerSecurityDescriptor;LockWindowUpdate;CsrClientCallServer;GetStringTypeW;RtlMoveMemory;RtlReAllocateHeap;RtlDosPathNameToNtPathName_U;NtOpenMutant
0;3072;0;0;41;0;0;0;0;0;0;0;0;0;0;0
0;21;12;2;214;0;0;0;0;0;0;0;0;32;0;3
0;741;2026;1;743;0;4;0;15;8;0;0;0;22;0;0
0;17;0;0;0;0;0;0;5;0;0;0;0;0;9;2
0;4169;0;0;7;0;0;0;0;0;0;0;0;0;1;0
0;10637;84;1;473;0;0;0;1;0;0;0;0;25;4;3
0;8211;3176;21;2896;1;0;0;1;0;0;0;0;230;0;9
0;0;1021;43;49;0;0;0;0;0;0;0;0;1;0;0
0;36;0;5;980;0;0;0;33;0;0;0;0;32;3;3
0;45;0;5;378;0;2;0;2;0;0;0;0;33;0;4
0;15431;6198;8;171;0;0;0;3;15;0;0;0;1;0;0
0;4073;0;4;192;0;0;0;2;0;0;0;0;0;6519;0
0;27;1265;9;251;0;1;0;0;2;0;0;0;18;0;3
0;417;1388;1;325;0;0;0;0;2;0;0;0;22;0;3
0;804;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;512;107;5;982;0;1;0;2;0;0;0;0;54;7;7
0;41;1105;1;215;0;0;0;0;0;0;0;0;18;0;3
0;2796;2967;2;215;4;0;0;10;4;0;0;0;101;0;3
0;878;6;0;2656;0;19;0;0;0;19;0;0;0;19;0
0;3;3112;20;334;0;0;0;10;0;0;0;0;40;0;10
0;49;787;2;47;0;0;0;5;0;0;0;0;0;0;0
0;933;4971;56;3441;183;0;0;13;0;0;0;0;577;0;21
0;8208;542;10;163;0;0;0;1;9;0;0;0;22;0;4
0;410;718;28;2608;165;0;0;14;0;0;0;0;186;0;10
0;10814;2721;74;436;1;0;0;7;0;0;0;0;337;0;17
0;519;43;0;882;0;0;0;0;0;0;0;0;40;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;11;132;1;689;0;0;0;0;2;0;0;0;19;0;3
0;537;30705;11;3687;0;9;1;0;2;9;0;0;30;0;6
0;196;147;4;3290;0;1;0;4;44;0;0;0;104;0;9
0;105;2503;2;3193;0;0;0;1;0;1;0;0;21;0;4
0;55;4834;0;146;0;2;0;2;1;0;0;0;18;0;4
0;7844;716;1;62;0;0;0;7;0;0;0;0;18;0;3
0;25319;5;1;15772;0;0;0;0;0;0;0;0;3;48;0
0;6;928;1;323;0;0;0;0;2;0;0;0;143;0;3
0;8489;5126;12;295;0;0;0;1;5;0;0;0;212;0;6
0;59;218;7;329;0;0;0;0;7;0;0;0;34;8;6
0;5;18;0;19;0;0;0;0;115;0;0;0;43;0;0
0;6;0;1;96;0;0;0;0;0;0;0;0;18;0;3
0;131;7039;0;2658;0;0;0;1;0;4;0;0;78;0;4
0;15;0;7;167;0;0;0;0;2;0;0;0;20;0;3
0;8776;2333;38;318;0;0;0;1;10;6;0;0;25;0;7
0;6;0;0;69;0;0;0;0;3;0;0;0;18;28;3
0;44;505;0;274;0;1;0;3;6;0;0;0;100;0;3
0;11;0;2;228;0;0;0;0;2;0;0;0;22;11;3
0;328;716;0;36;0;1;0;1;0;2;0;0;90;2;0
0;491;611;7;874;0;1;0;1;2;0;0;0;48;0;6
0;471;3;0;43;0;2;0;0;0;0;0;0;0;2;0
0;11226;1278;47;662;0;1;0;10;2;0;0;0;836;0;7
0;55;517;2;3395;0;2;0;5;0;0;0;0;36;0;4
0;8;0;0;0;0;0;0;0;0;0;9;0;0;0;0
0;11730;3153;62;1085;159;0;0;7;19;0;0;0;447;0;17
0;217;0;0;555;0;0;0;1;2;0;0;0;22;0;3
0;11;723;0;429;0;0;0;0;2;0;0;0;264;0;3
0;23;1087;2;2716;0;0;0;1;0;7;0;0;30;0;3
0;777;2959;1;162;0;0;0;1;2;0;0;0;42;0;3
0;889;4127;47;425;157;0;0;6;73;0;0;0;395;0;17
0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0
0;11489;8481;100;1313;1;0;0;6;23;0;0;0;298;19;18
0;100;961;1;188;0;2;0;1;3;0;0;0;25;0;3
0;1175;0;0;1076;0;0;0;0;18;0;0;0;40;0;3
0;48;738;0;105;0;0;0;0;0;0;0;0;0;0;0
0;1313;3742;25;2194;2;4;0;5;0;0;0;0;974;0;11
0;11945;2879;61;519;1;12;0;9;0;0;0;0;428;0;18
0;10645;3911;77;583;1;0;0;4;3;0;0;0;171;0;17
0;1523;1922;5;1010;0;0;0;5;4;0;0;0;43;0;3
